,actor,actress,art_direction,cinematography,costume,director,editing,effects,music,other,picture,s_actor,s_actress,screenplay,song,sound,year
The Courage to Care,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
Keats and His Nightingale: A Blind Date,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
Making Overtures: The Story of a Community Orchestra,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
The Wizard of the Strings,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
Molly's Pilgrim,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1985
Graffiti,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
Rainbow War,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
Anna & Bella,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1985
The Big Snit,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
Second Class Mail,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
Silverado,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,N,1985
White Nights,O,O,O,O,O,O,O,O,O,O,O,O,O,O,WN,O,1985
A Chorus Line,O,O,O,O,O,O,N,O,O,O,O,O,O,O,N,N,1985
Ladyhawke,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,1985
Rambo: First Blood Part II,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1985
Mask,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1985
Remo Williams: The Adventure Begins,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1985
The Journey of Natty Gann,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1985
Return to Oz,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1985
Young Sherlock Holmes,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1985
Platoon,O,O,O,N,O,W,W,O,O,O,W,N,O,N,O,W,1986
Children of a Lesser God,N,W,O,O,O,O,O,O,O,O,N,O,N,N,O,O,1986
Hannah and Her Sisters,O,O,N,O,O,N,N,O,O,O,N,W,W,W,O,O,1986
The Mission,O,O,N,W,N,N,N,O,N,O,N,O,O,O,O,O,1986
A Room with a View,O,O,W,N,W,N,O,O,O,O,N,N,N,W,O,O,1986
Blue Velvet,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,1986
The Color of Money,W,O,N,O,O,O,O,O,O,O,O,O,N,N,O,O,1986
Round Midnight,N,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,1986
Mona Lisa,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1986
Salvador,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1986
The Morning After,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1986
Crimes of the Heart,O,N,O,O,O,O,O,O,O,O,O,O,N,N,O,O,1986
Peggy Sue Got Married,O,N,O,N,N,O,O,O,O,O,O,O,O,O,O,O,1986
Aliens,O,N,N,O,O,O,N,W,N,O,O,O,O,O,O,N,1986
Hoosiers,O,O,O,O,O,O,O,O,N,O,O,N,O,O,O,O,1986
Crocodile Dundee,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1986
My Beautiful Laundrette,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1986
Stand by Me,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1986
The Assault,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1986
38,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Betty Blue,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
The Decline of the American Empire,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
My Sweet Little Village,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Artie Shaw: Time Is All You've Got,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1986
Down and Out in America,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1986
Chile: Hasta Cuando?,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Isaac in America: A Journey with Isaac Bashevis Singer,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Witness to Apartheid,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
"Women  for America, for the World",O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1986
Debonair Dancers,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
The Masters of Disaster,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Red Grooms: Sunflower in a Hothouse,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Sam,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Precious Images,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1986
Exit,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Love Struck,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Greek Tragedy,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1986
"The Frog, the Dog and the Devil",O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Luxo Jr.,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Star Trek IV: The Voyage Home,O,O,O,N,O,O,N,O,N,O,O,O,O,O,O,N,1986
Top Gun,O,O,O,O,O,O,N,O,O,O,O,O,O,O,W,N,1986
The Karate Kid Part II,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1986
That's Life!,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1986
Little Shop of Horrors,O,O,O,O,O,O,O,N,O,O,O,O,O,O,N,O,1986
An American Tail,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1986
Heartbreak Ridge,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1986
The Fly,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1986
The Clan of the Cave Bear,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Legend,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1986
Otello,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1986
Pirates,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1986
Poltergeist II: The Other Side,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1986
The Last Emperor,O,O,W,W,W,W,W,O,W,O,W,O,O,W,O,W,1987
Broadcast News,N,N,O,N,O,O,N,O,O,O,N,N,O,N,O,O,1987
Fatal Attraction,O,N,O,O,O,N,N,O,O,O,N,O,N,N,O,O,1987
Hope and Glory,O,O,N,N,O,N,O,O,O,O,N,O,O,N,O,O,1987
Moonstruck,O,W,O,O,O,N,O,O,O,O,N,N,W,W,O,O,1987
My Life as a Dog,O,O,O,O,O,N,O,O,O,O,O,O,O,N,O,O,1987
Wall Street,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1987
Dark Eyes,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1987
Ironweed,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1987
"Good Morning, Vietnam",N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1987
Anna,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1987
The Untouchables,O,O,N,O,N,O,O,O,N,O,O,W,O,O,O,O,1987
Street Smart,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1987
Cry Freedom,O,O,O,O,O,O,O,O,N,O,O,N,O,O,N,O,1987
Gaby: A True Story,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1987
Throw Momma from the Train,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1987
The Whales of August,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1987
Au revoir les enfants,O,O,O,O,O,O,O,O,O,N,O,O,O,N,O,O,1987
Radio Days,O,O,N,O,O,O,O,O,O,O,O,O,O,N,O,O,1987
The Dead,O,O,O,O,N,O,O,O,O,O,O,O,O,N,O,O,1987
Full Metal Jacket,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1987
Babette's Feast,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1987
Course Completed,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
The Family,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Pathfinder,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1987
Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Hellfire: A Journey from Hiroshima,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Radio Bikini,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
A Stitch for Time,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Young at Heart,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1987
Frances Steloff: Memoirs of a Bookseller,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
In the Wee Wee Hours...,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Language Says It All,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Silver into Gold,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Ray's Male Heterosexual Dance Hall,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1987
Making Waves,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Shoeshine,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
The Man Who Planted Trees,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1987
George and Rosemary,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Your Face,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Empire of the Sun,O,O,N,N,N,O,N,O,N,O,O,O,O,O,O,N,1987
The Witches of Eastwick,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,N,1987
Dirty Dancing,O,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,1987
Mannequin,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1987
Beverly Hills Cop II,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1987
The Princess Bride,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1987
Lethal Weapon,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1987
RoboCop,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,1987
Matewan,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1987
Harry and the Hendersons,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1987
Happy New Year,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1987
Maurice,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1987
Innerspace,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,O,1987
Predator,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1987
Rain Man,W,O,N,N,O,W,N,O,N,O,W,O,O,W,O,O,1988
The Accidental Tourist,O,O,O,O,O,O,O,O,N,O,N,O,W,N,O,O,1988
Dangerous Liaisons,O,N,W,O,W,O,O,O,N,O,N,O,N,W,O,O,1988
Mississippi Burning,N,O,O,W,O,N,N,O,O,O,N,O,N,O,O,N,1988
Working Girl,O,N,O,O,O,N,O,O,O,O,N,O,N,O,W,O,1988
A Fish Called Wanda,O,O,O,O,O,N,O,O,O,O,O,W,O,N,O,O,1988
The Last Temptation of Christ,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,1988
Big,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1988
Stand and Deliver,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1988
Pelle the Conqueror,N,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1988
The Accused,O,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1988
A Cry in the Dark,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1988
Gorillas in the Mist,O,N,O,O,O,O,N,O,N,O,O,O,O,N,O,N,1988
Little Dorrit,O,O,O,O,O,O,O,O,O,O,O,N,O,N,O,O,1988
Tucker: The Man and His Dream,O,O,N,O,N,O,O,O,O,O,O,N,O,O,O,O,1988
Running on Empty,O,O,O,O,O,O,O,O,O,O,O,N,O,N,O,O,1988
Married to the Mob,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1988
Bull Durham,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1988
The Unbearable Lightness of Being,O,O,O,N,O,O,O,O,O,O,O,O,O,N,O,O,1988
Hanussen,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
The Music Teacher,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Salaam Bombay!,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Women on the Verge of a Nervous Breakdown,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Hôtel Terminus: The Life and Times of Klaus Barbie,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1988
The Cry of Reason: Beyers Naude - An Afrikaner Speaks Out,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Let's Get Lost,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Promises to Keep,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Who Killed Vincent Chin?,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
You Don't Have to Die,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1988
The Children's Storefront,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Family Gathering,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Gang Cops,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Portrait of Imogen,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
The Appointments of Dennis Jennings,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1988
Cadillac Dreams,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Gullah Tales,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Tin Toy,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1988
The Cat Came Back,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
Technological Threat,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
The Milagro Beanfield War,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,O,1988
Bagdad Cafe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1988
Buster,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1988
Bird,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,W,1988
Die Hard,O,O,O,O,O,O,N,N,O,O,O,O,O,O,O,N,1988
Who Framed Roger Rabbit,O,O,N,N,O,O,W,W,O,O,O,O,O,O,O,N,1988
Willow,O,O,O,O,O,O,N,N,O,O,O,O,O,O,O,O,1988
Beaches,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,1988
Beetlejuice,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1988
Coming to America,O,O,O,O,N,O,O,O,O,N,O,O,O,O,O,O,1988
Scrooged,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1988
A Handful of Dust,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1988
Sunset,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1988
Tequila Sunrise,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1988
Driving Miss Daisy,N,W,N,O,N,O,N,O,O,W,W,N,O,W,O,O,1989
Born on the Fourth of July,N,O,O,N,O,W,W,O,N,O,N,O,O,N,O,N,1989
Dead Poets Society,N,O,O,O,O,N,O,O,O,O,N,O,O,W,O,O,1989
Field of Dreams,O,O,O,O,O,O,O,O,N,O,N,O,O,N,O,O,1989
My Left Foot,W,O,O,O,O,N,O,O,O,O,N,O,W,N,O,O,1989
Crimes and Misdemeanors,O,O,O,O,O,N,O,O,O,O,O,N,O,N,O,O,1989
Henry V,N,O,O,O,W,N,O,O,O,O,O,O,O,O,O,O,1989
Camille Claudel,O,N,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Shirley Valentine,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1989
Music Box,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1989
The Fabulous Baker Boys,O,N,O,N,O,O,N,O,N,O,O,O,O,O,O,O,1989
Glory,O,O,N,W,O,O,N,O,O,O,O,W,O,O,O,W,1989
Do the Right Thing,O,O,O,O,O,O,O,O,O,O,O,N,O,N,O,O,1989
A Dry White Season,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1989
"Enemies, A Love Story",O,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,1989
Steel Magnolias,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1989
Parenthood,O,O,O,O,O,O,O,O,O,O,O,O,N,O,N,O,1989
"Sex, Lies, and Videotape",O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1989
When Harry Met Sally...,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1989
Cinema Paradiso,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1989
Jesus of Montreal,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Memories of a Marriage,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
What Happened to Santiago,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Common Threads: Stories from the Quilt,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1989
Adam Clayton Powell,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Crack USA: County Under Siege,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
For All Mankind,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Super Chief: The Life and Legacy of Earl Warren,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
The Johnstown Flood,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1989
"Fine Food, Fine Pastries, Open 6 to 9",O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Yad Vashem: Preserving the Past to Ensure the Future,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Work Experience,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1989
Amazon Diary,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
The Childeater,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Balance,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1989
The Cow,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
The Hill Farm,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
The Little Mermaid,O,O,O,O,O,O,O,O,W,O,O,O,O,O,WN,O,1989
Indiana Jones and the Last Crusade,O,O,O,O,O,O,W,O,N,O,O,O,O,O,O,N,1989
Chances Are,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1989
Black Rain,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,1989
Lethal Weapon 2,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1989
The Abyss,O,O,N,N,O,O,O,W,O,O,O,O,O,O,O,N,1989
Batman,O,O,W,O,O,O,O,O,O,O,O,O,O,O,O,O,1989
The Adventures of Baron Munchausen,O,O,N,O,N,O,O,N,O,N,O,O,O,O,O,O,1989
Blaze,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1989
Dad,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1989
Harlem Nights,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1989
Valmont,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,1989
The Bear,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1989
Back to the Future Part II,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,1989
Dances with Wolves,N,O,N,W,N,W,W,O,W,O,W,N,N,W,O,W,1990
Awakenings,N,O,O,O,O,O,O,O,O,O,N,O,O,N,O,O,1990
Ghost,O,O,O,O,O,O,N,O,N,O,N,O,W,W,O,O,1990
The Godfather Part III,O,O,N,N,O,N,N,O,O,O,N,N,O,O,N,O,1990
Goodfellas,O,O,O,O,O,N,N,O,O,O,N,W,N,N,O,O,1990
The Grifters,O,N,O,O,O,N,O,O,O,O,O,O,N,N,O,O,1990
Reversal of Fortune,W,O,O,O,O,N,O,O,O,O,O,O,O,N,O,O,1990
Cyrano de Bergerac,N,O,N,O,W,O,O,O,O,N,O,O,O,O,O,O,1990
The Field,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1990
Misery,O,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1990
Pretty Woman,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1990
Postcards from the Edge,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1990
Mr. and Mrs. Bridge,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1990
Longtime Companion,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,1990
Dick Tracy,O,O,W,N,N,O,O,O,O,W,O,N,O,O,W,N,1990
Wild at Heart,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1990
Alice,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1990
Avalon,O,O,O,N,N,O,O,O,N,O,O,O,O,N,O,O,1990
Green Card,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1990
Metropolitan,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1990
Journey of Hope,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1990
Ju Dou,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
The Nasty Girl,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Open Doors,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
American Dream,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1990
Berkeley in the Sixties,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Building Bombs,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Waldo Salt: A Screenwriter's Journey,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Days of Waiting,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1990
Burning Down Tomorrow,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Chimps: So Like Us,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Journey into Life: The World of the Unborn,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Rose Kennedy: A Life to Remember,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
The Lunch Date,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1990
12:01 PM,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Bronx Cheers,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Dear Rosie,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Senzeni Na? (What Have We Done?),O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Creature Comforts,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1990
A Grand Day Out,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Grasshoppers (Cavallette),O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Havana,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,1990
Home Alone,O,O,O,O,O,O,O,O,N,O,O,O,O,O,N,O,1990
Young Guns II,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,1990
Days of Thunder,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,1990
The Hunt for Red October,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,1990
Total Recall,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,1990
Flatliners,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,O,1990
Hamlet,O,O,N,O,N,O,O,O,O,O,O,O,O,O,O,O,1990
Edward Scissorhands,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1990
Henry & June,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,1990
The Silence of the Lambs,W,W,O,O,O,W,N,O,O,O,W,O,O,W,O,N,1991
Beauty and the Beast,O,O,O,O,O,O,O,O,W,O,N,O,O,O,WN,N,1991
Bugsy,N,O,W,N,W,N,O,O,N,O,N,N,O,N,O,O,1991
JFK,O,O,O,W,O,N,W,O,N,O,N,N,O,N,O,N,1991
The Prince of Tides,N,O,N,N,O,O,O,O,N,O,N,O,N,N,O,O,1991
Boyz n the Hood,O,O,O,O,O,N,O,O,O,O,O,O,O,N,O,O,1991
Thelma & Louise,O,N,O,N,O,N,N,O,O,O,O,O,O,W,O,O,1991
Cape Fear,N,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1991
The Fisher King,N,O,N,O,O,O,O,O,N,O,O,O,W,N,O,O,1991
Rambling Rose,O,N,O,O,O,O,O,O,O,O,O,O,N,O,O,O,1991
For the Boys,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,1991
City Slickers,O,O,O,O,O,O,O,O,O,O,O,W,O,O,O,O,1991
Barton Fink,O,O,N,O,N,O,O,O,O,O,O,N,O,O,O,O,1991
Fried Green Tomatoes,O,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,1991
Grand Canyon,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1991
Europa Europa,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,1991
Mediterraneo,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1991
Children of Nature,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
The Elementary School,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
The Ox,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
Raise the Red Lantern,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
In the Shadow of the Stars,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1991
Death on the Job,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
Doing Time: Life Inside the Big House,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
The Restless Conscience: Resistance to Hitler Within Germany 1933-1945,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
Wild by Law,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,1991
Birdnesters of Thailand,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
A Little Vicious,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
The Mark of the Maker,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
Memorial: Letters from American Soldiers,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,1991
