,index,year,name,category,result,score
2864,29,1969,Estelle Parsons,s_actress,N,0.2
2845,10,1969,Cliff Robertson,actor,W,5.0
2846,11,1969,Alan Arkin,actor,N,0.2
2847,12,1969,Alan Bates,actor,N,0.2
2848,13,1969,Ron Moody,actor,N,0.2
2849,14,1969,Peter O'Toole,actor,N,0.2
2850,15,1969,Katharine Hepburn,actress,W,2.5
2851,16,1969,Barbra Streisand,actress,W,2.5
2852,17,1969,Patricia Neal,actress,N,0.2
2853,18,1969,Vanessa Redgrave,actress,N,0.2
2854,19,1969,Joanne Woodward,actress,N,0.2
2865,30,1969,James Goldman,screenplay,W,5.0
2866,31,1969,Neil Simon,screenplay,N,0.2
2867,32,1969,Vernon Harris,screenplay,N,0.2
2868,33,1969,Stewart Stern,screenplay,N,0.2
2869,34,1969,Roman Polanski,screenplay,N,0.2
2912,0,1970,Jerome Hellman,picture,W,5.0
2913,1,1970,Hal B. Wallis,picture,N,0.2
2914,2,1970,John Foreman,picture,N,0.2
2915,3,1970,Ernest Lehman,picture,N,0.2
2916,4,1970,Jacques Perrin,picture,N,0.2
2917,5,1970,John Schlesinger,director,W,5.0
2918,6,1970,Arthur Penn,director,N,0.2
2919,7,1970,George Roy Hill,director,N,0.2
2920,8,1970,Sydney Pollack,director,N,0.2
2921,9,1970,Costa-Gavras,director,N,0.2
2932,20,1970,Gig Young,s_actor,W,5.0
2933,21,1970,Rupert Crosse,s_actor,N,0.2
2934,22,1970,Elliott Gould,s_actor,N,0.2
2935,23,1970,Jack Nicholson,s_actor,N,0.2
2936,24,1970,Anthony Quayle,s_actor,N,0.2
2937,25,1970,Goldie Hawn,s_actress,W,5.0
2938,26,1970,Catherine Burns,s_actress,N,0.2
2939,27,1970,Dyan Cannon,s_actress,N,0.2
2940,28,1970,Sylvia Miles,s_actress,N,0.2
2941,29,1970,Susannah York,s_actress,N,0.2
2922,10,1970,John Wayne,actor,W,5.0
2923,11,1970,Richard Burton,actor,N,0.2
2924,12,1970,Dustin Hoffman,actor,N,0.2
2925,13,1970,Peter O'Toole,actor,N,0.2
2926,14,1970,Jon Voight,actor,N,0.2
2927,15,1970,Maggie Smith,actress,W,5.0
2928,16,1970,Geneviève Bujold,actress,N,0.2
2929,17,1970,Jane Fonda,actress,N,0.2
2930,18,1970,Liza Minnelli,actress,N,0.2
2931,19,1970,Jean Simmons,actress,N,0.2
2942,30,1970,Waldo Salt,screenplay,W,5.0
2943,31,1970,Bridget Boland,screenplay,N,0.2
2944,32,1970,Arnold Schulman,screenplay,N,0.2
2945,33,1970,James Poe,screenplay,N,0.2
2946,34,1970,Jorge Semprun,screenplay,N,0.2
2989,0,1971,Frank McCarthy,picture,W,5.0
2990,1,1971,Ross Hunter,picture,N,0.2
2991,2,1971,Bob Rafelson,picture,N,0.2
2992,3,1971,Howard G. Minsky,picture,N,0.2
2993,4,1971,Ingo Preminger,picture,N,0.2
2994,5,1971,Franklin J. Schaffner,director,W,5.0
2995,6,1971,Federico Fellini,director,N,0.2
2996,7,1971,Arthur Hiller,director,N,0.2
2997,8,1971,Robert Altman,director,N,0.2
2998,9,1971,Ken Russell,director,N,0.2
3009,20,1971,John Mills,s_actor,W,5.0
3010,21,1971,Richard S. Castellano,s_actor,N,0.2
3011,22,1971,Chief Dan George,s_actor,N,0.2
3012,23,1971,Gene Hackman,s_actor,N,0.2
3013,24,1971,John Marley,s_actor,N,0.2
3014,25,1971,Helen Hayes,s_actress,W,5.0
3015,26,1971,Karen Black,s_actress,N,0.2
3016,27,1971,Lee Grant,s_actress,N,0.2
3017,28,1971,Sally Kellerman,s_actress,N,0.2
3018,29,1971,Maureen Stapleton,s_actress,N,0.2
2999,10,1971,George C. Scott,actor,W,5.0
3000,11,1971,Melvyn Douglas,actor,N,0.2
3001,12,1971,James Earl Jones,actor,N,0.2
3002,13,1971,Jack Nicholson,actor,N,0.2
3003,14,1971,Ryan O'Neal,actor,N,0.2
3004,15,1971,Glenda Jackson,actress,W,5.0
3005,16,1971,Jane Alexander,actress,N,0.2
3006,17,1971,Ali MacGraw,actress,N,0.2
3007,18,1971,Sarah Miles,actress,N,0.2
3008,19,1971,Carrie Snodgress,actress,N,0.2
3019,30,1971,Ring Lardner Jr.,screenplay,W,5.0
3020,31,1971,George Seaton,screenplay,N,0.2
3021,32,1971,Robert Woodruff Anderson,screenplay,N,0.2
3022,33,1971,Renée Taylor,screenplay,N,0.2
3023,34,1971,Larry Kramer,screenplay,N,0.2
3066,0,1972,Philip D'Antoni,picture,W,5.0
3067,1,1972,Stanley Kubrick,picture,N,0.2
3068,2,1972,Norman Jewison,picture,N,0.2
3069,3,1972,Stephen J. Friedman,picture,N,0.2
3070,4,1972,Sam Spiegel,picture,N,0.2
3071,5,1972,William Friedkin,director,W,5.0
3072,6,1972,Stanley Kubrick,director,N,0.2
3073,7,1972,Norman Jewison,director,N,0.2
3074,8,1972,Peter Bogdanovich,director,N,0.2
3075,9,1972,John Schlesinger,director,N,0.2
3086,20,1972,Ben Johnson,s_actor,W,5.0
3087,21,1972,Jeff Bridges,s_actor,N,0.2
3088,22,1972,Leonard Frey,s_actor,N,0.2
3089,23,1972,Richard Jaeckel,s_actor,N,0.2
3090,24,1972,Roy Scheider,s_actor,N,0.2
3091,25,1972,Cloris Leachman,s_actress,W,5.0
3092,26,1972,Ann-Margret,s_actress,N,0.2
3093,27,1972,Ellen Burstyn,s_actress,N,0.2
3094,28,1972,Barbara Harris,s_actress,N,0.2
3095,29,1972,Margaret Leighton,s_actress,N,0.2
3076,10,1972,Gene Hackman,actor,W,5.0
3077,11,1972,Peter Finch,actor,N,0.2
3078,12,1972,Walter Matthau,actor,N,0.2
3079,13,1972,George C. Scott,actor,N,0.2
3080,14,1972,Chaim Topol,actor,N,0.2
3081,15,1972,Jane Fonda,actress,W,5.0
3082,16,1972,Julie Christie,actress,N,0.2
3083,17,1972,Glenda Jackson,actress,N,0.2
3084,18,1972,Vanessa Redgrave,actress,N,0.2
3085,19,1972,Janet Suzman,actress,N,0.2
3096,30,1972,Ernest Tidyman,screenplay,W,5.0
3097,31,1972,Stanley Kubrick,screenplay,N,0.2
3098,32,1972,Bernardo Bertolucci,screenplay,N,0.2
3099,33,1972,Ugo Pirro,screenplay,N,0.2
3100,34,1972,Peter Bogdanovich,screenplay,N,0.2
3143,0,1973,Albert S. Ruddy,picture,W,5.0
3144,1,1973,Cy Feuer,picture,N,0.2
3145,2,1973,John Boorman,picture,N,0.2
3146,3,1973,Bengt Forslund,picture,N,0.2
3147,4,1973,Robert B. Radnitz,picture,N,0.2
3148,5,1973,Bob Fosse,director,W,5.0
3149,6,1973,John Boorman,director,N,0.2
3150,7,1973,Jan Troell,director,N,0.2
3151,8,1973,Francis Ford Coppola,director,N,0.2
3152,9,1973,Joseph L. Mankiewicz,director,N,0.2
3163,20,1973,Joel Grey,s_actor,W,5.0
3164,21,1973,Eddie Albert,s_actor,N,0.2
3165,22,1973,James Caan,s_actor,N,0.2
3166,23,1973,Robert Duvall,s_actor,N,0.2
3167,24,1973,Al Pacino,s_actor,N,0.2
3168,25,1973,Eileen Heckart,s_actress,W,5.0
3169,26,1973,Jeannie Berlin,s_actress,N,0.2
3170,27,1973,Geraldine Page,s_actress,N,0.2
3171,28,1973,Susan Tyrrell,s_actress,N,0.2
3172,29,1973,Shelley Winters,s_actress,N,0.2
3153,10,1973,Marlon Brando,actor,W,5.0
3154,11,1973,Michael Caine,actor,N,0.2
3155,12,1973,Laurence Olivier,actor,N,0.2
3156,13,1973,Peter O'Toole,actor,N,0.2
3157,14,1973,Paul Winfield,actor,N,0.2
3158,15,1973,Liza Minnelli,actress,W,5.0
3159,16,1973,Diana Ross,actress,N,0.2
3160,17,1973,Maggie Smith,actress,N,0.2
3161,18,1973,Cicely Tyson,actress,N,0.2
3162,19,1973,Liv Ullmann,actress,N,0.2
3173,30,1973,Jeremy Larner,screenplay,W,5.0
3174,31,1973,Luis Buñuel,screenplay,N,0.1
3175,32,1973,Chris Clark,screenplay,N,0.1
3176,33,1973,Louis Malle,screenplay,N,0.1
3177,34,1973,Carl Foreman,screenplay,N,0.1
3178,35,1973,Francis Ford Coppola,screenplay,W,5.0
3179,36,1973,Jay Presson Allen,screenplay,N,0.1
3180,37,1973,Bengt Forslund,screenplay,N,0.1
3181,38,1973,Julius J. Epstein,screenplay,N,0.1
3182,39,1973,Lonne Elder III,screenplay,N,0.1
3221,0,1974,Tony Bill,picture,W,5.0
3222,1,1974,Francis Ford Coppola,picture,N,0.2
3223,2,1974,Ingmar Bergman,picture,N,0.2
3224,3,1974,William Peter Blatty,picture,N,0.2
3225,4,1974,Melvin Frank,picture,N,0.2
3226,5,1974,George Roy Hill,director,W,5.0
3227,6,1974,George Lucas,director,N,0.2
3228,7,1974,Ingmar Bergman,director,N,0.2
3229,8,1974,William Friedkin,director,N,0.2
3230,9,1974,Bernardo Bertolucci,director,N,0.2
3241,20,1974,John Houseman,s_actor,W,5.0
3242,21,1974,Vincent Gardenia,s_actor,N,0.2
3243,22,1974,Jack Gilford,s_actor,N,0.2
3244,23,1974,Jason Miller,s_actor,N,0.2
3245,24,1974,Randy Quaid,s_actor,N,0.2
3246,25,1974,Tatum O'Neal,s_actress,W,5.0
3247,26,1974,Linda Blair,s_actress,N,0.2
3248,27,1974,Candy Clark,s_actress,N,0.2
3249,28,1974,Madeline Kahn,s_actress,N,0.2
3250,29,1974,Sylvia Sidney,s_actress,N,0.2
3231,10,1974,Jack Lemmon,actor,W,5.0
3232,11,1974,Marlon Brando,actor,N,0.2
3233,12,1974,Jack Nicholson,actor,N,0.2
3234,13,1974,Al Pacino,actor,N,0.2
3235,14,1974,Robert Redford,actor,N,0.2
3236,15,1974,Glenda Jackson,actress,W,5.0
3237,16,1974,Ellen Burstyn,actress,N,0.2
3238,17,1974,Marsha Mason,actress,N,0.2
3239,18,1974,Barbra Streisand,actress,N,0.2
3240,19,1974,Joanne Woodward,actress,N,0.2
3251,30,1974,William Peter Blatty,screenplay,W,5.0
3252,31,1974,Robert Towne,screenplay,N,0.2
3253,32,1974,James Bridges,screenplay,N,0.2
3254,33,1974,Alvin Sargent,screenplay,N,0.2
3255,34,1974,Waldo Salt,screenplay,N,0.2
3294,0,1975,Francis Ford Coppola,picture,W,5.0
3295,1,1975,Robert Evans,picture,N,0.2
3296,2,1975,Francis Ford Coppola,picture,N,0.2
3297,3,1975,Marvin Worth,picture,N,0.2
3298,4,1975,Irwin Allen,picture,N,0.2
3299,5,1975,Francis Ford Coppola,director,W,5.0
3300,6,1975,Roman Polanski,director,N,0.2
3301,7,1975,François Truffaut,director,N,0.2
3302,8,1975,Bob Fosse,director,N,0.2
3303,9,1975,John Cassavetes,director,N,0.2
3314,20,1975,Robert De Niro,s_actor,W,5.0
3315,21,1975,Fred Astaire,s_actor,N,0.2
3316,22,1975,Jeff Bridges,s_actor,N,0.2
3317,23,1975,Michael V. Gazzo,s_actor,N,0.2
3318,24,1975,Lee Strasberg,s_actor,N,0.2
3319,25,1975,Ingrid Bergman,s_actress,W,5.0
3320,26,1975,Valentina Cortese,s_actress,N,0.2
3321,27,1975,Madeline Kahn,s_actress,N,0.2
3322,28,1975,Diane Ladd,s_actress,N,0.2
3323,29,1975,Talia Shire,s_actress,N,0.2
3304,10,1975,Art Carney,actor,W,5.0
3305,11,1975,Albert Finney,actor,N,0.2
3306,12,1975,Dustin Hoffman,actor,N,0.2
3307,13,1975,Jack Nicholson,actor,N,0.2
3308,14,1975,Al Pacino,actor,N,0.2
3309,15,1975,Ellen Burstyn,actress,W,5.0
3310,16,1975,Diahann Carroll,actress,N,0.2
3311,17,1975,Faye Dunaway,actress,N,0.2
3312,18,1975,Valerie Perrine,actress,N,0.2
3313,19,1975,Gena Rowlands,actress,N,0.2
3324,30,1975,Robert Towne,screenplay,W,5.0
3325,31,1975,Robert Getchell,screenplay,N,0.1
3326,32,1975,Francis Ford Coppola,screenplay,N,0.1
3327,33,1975,François Truffaut,screenplay,N,0.1
3328,34,1975,Paul Mazursky,screenplay,N,0.1
3329,35,1975,Francis Ford Coppola,screenplay,W,5.0
3330,36,1975,Mordecai Richler,screenplay,N,0.1
3331,37,1975,Julian Barry,screenplay,N,0.1
3332,38,1975,Paul Dehn,screenplay,N,0.1
3333,39,1975,Gene Wilder,screenplay,N,0.1
3372,0,1976,Michael Douglas,picture,W,5.0
3373,1,1976,Stanley Kubrick,picture,N,0.2
3374,2,1976,Martin Bregman,picture,N,0.2
3375,3,1976,Richard D. Zanuck,picture,N,0.2
3376,4,1976,Robert Altman,picture,N,0.2
3377,5,1976,Miloš Forman,director,W,5.0
3378,6,1976,Federico Fellini,director,N,0.2
3379,7,1976,Stanley Kubrick,director,N,0.2
3380,8,1976,Sidney Lumet,director,N,0.2
3381,9,1976,Robert Altman,director,N,0.2
3392,20,1976,George Burns,s_actor,W,5.0
3393,21,1976,Brad Dourif,s_actor,N,0.2
3394,22,1976,Burgess Meredith,s_actor,N,0.2
3395,23,1976,Chris Sarandon,s_actor,N,0.2
3396,24,1976,Jack Warden,s_actor,N,0.2
3397,25,1976,Lee Grant,s_actress,W,5.0
3398,26,1976,Ronee Blakley,s_actress,N,0.2
3399,27,1976,Sylvia Miles,s_actress,N,0.2
3400,28,1976,Lily Tomlin,s_actress,N,0.2
3401,29,1976,Brenda Vaccaro,s_actress,N,0.2
3382,10,1976,Jack Nicholson,actor,W,5.0
3383,11,1976,Walter Matthau,actor,N,0.2
3384,12,1976,Al Pacino,actor,N,0.2
3385,13,1976,Maximilian Schell,actor,N,0.2
3386,14,1976,James Whitmore,actor,N,0.2
3387,15,1976,Louise Fletcher,actress,W,5.0
3388,16,1976,Isabelle Adjani,actress,N,0.2
3389,17,1976,Ann-Margret,actress,N,0.2
3390,18,1976,Glenda Jackson,actress,N,0.2
3391,19,1976,Carol Kane,actress,N,0.2
3402,30,1976,Frank Pierson,screenplay,W,5.0
3403,31,1976,Federico Fellini,screenplay,N,0.1
3404,32,1976,Claude Lelouch,screenplay,N,0.1
3405,33,1976,Ted Allan,screenplay,N,0.1
3406,34,1976,Warren Beatty,screenplay,N,0.1
3407,35,1976,Bo Goldman,screenplay,W,5.0
3408,36,1976,Stanley Kubrick,screenplay,N,0.1
3409,37,1976,John Huston,screenplay,N,0.1
3410,38,1976,Ruggero Maccari,screenplay,N,0.1
3411,39,1976,Neil Simon,screenplay,N,0.1
3450,0,1977,Robert Chartoff,picture,W,5.0
3451,1,1977,"Walter Coblenz, producer",picture,N,0.2
3452,2,1977,Harold Leventhal,picture,N,0.2
3453,3,1977,"Howard Gottfried, producer",picture,N,0.2
3454,4,1977,Julia Phillips,picture,N,0.2
3455,5,1977,John G. Avildsen,director,W,5.0
3456,6,1977,Alan J. Pakula,director,N,0.2
3457,7,1977,Ingmar Bergman,director,N,0.2
3458,8,1977,Sidney Lumet,director,N,0.2
3459,9,1977,Lina Wertmüller,director,N,0.2
3470,20,1977,Jason Robards,s_actor,W,5.0
3471,21,1977,Ned Beatty,s_actor,N,0.2
3472,22,1977,Burgess Meredith,s_actor,N,0.2
3473,23,1977,Laurence Olivier,s_actor,N,0.2
3474,24,1977,Burt Young,s_actor,N,0.2
3475,25,1977,Beatrice Straight,s_actress,W,5.0
3476,26,1977,Jane Alexander,s_actress,N,0.2
3477,27,1977,Jodie Foster,s_actress,N,0.2
3478,28,1977,Lee Grant,s_actress,N,0.2
3479,29,1977,Piper Laurie,s_actress,N,0.2
3460,10,1977,Peter Finch,actor,W,5.0
3461,11,1977,Robert De Niro,actor,N,0.2
3462,12,1977,Giancarlo Giannini,actor,N,0.2
3463,13,1977,William Holden,actor,N,0.2
3464,14,1977,Sylvester Stallone,actor,N,0.2
3465,15,1977,Faye Dunaway,actress,W,5.0
3466,16,1977,Marie-Christine Barrault,actress,N,0.2
3467,17,1977,Talia Shire,actress,N,0.2
3468,18,1977,Sissy Spacek,actress,N,0.2
3469,19,1977,Liv Ullmann,actress,N,0.2
3480,30,1977,William Goldman,screenplay,W,5.0
3481,31,1977,Robert Getchell,screenplay,N,0.2
3482,32,1977,Federico Fellini,screenplay,N,0.2
3483,33,1977,Nicholas Meyer,screenplay,N,0.2
3484,34,1977,David Butler,screenplay,N,0.2
3523,0,1978,Charles H. Joffe,picture,W,5.0
3524,1,1978,Ray Stark,picture,N,0.2
3525,2,1978,"Richard Roth, producer",picture,N,0.2
3526,3,1978,Gary Kurtz,picture,N,0.2
3527,4,1978,Herbert Ross,picture,N,0.2
3528,5,1978,Woody Allen,director,W,5.0
3529,6,1978,Steven Spielberg,director,N,0.2
3530,7,1978,Fred Zinnemann,director,N,0.2
3531,8,1978,George Lucas,director,N,0.2
3532,9,1978,Herbert Ross,director,N,0.2
3543,20,1978,Jason Robards,s_actor,W,5.0
3544,21,1978,Mikhail Baryshnikov,s_actor,N,0.2
3545,22,1978,Peter Firth,s_actor,N,0.2
3546,23,1978,Alec Guinness,s_actor,N,0.2
3547,24,1978,Maximilian Schell,s_actor,N,0.2
3548,25,1978,Vanessa Redgrave,s_actress,W,5.0
3549,26,1978,Leslie Browne,s_actress,N,0.2
3550,27,1978,Quinn Cummings,s_actress,N,0.2
3551,28,1978,Melinda Dillon,s_actress,N,0.2
3552,29,1978,Tuesday Weld,s_actress,N,0.2
3533,10,1978,Richard Dreyfuss,actor,W,5.0
3534,11,1978,Woody Allen,actor,N,0.2
3535,12,1978,Richard Burton,actor,N,0.2
3536,13,1978,Marcello Mastroianni,actor,N,0.2
3537,14,1978,John Travolta,actor,N,0.2
3538,15,1978,Diane Keaton,actress,W,5.0
3539,16,1978,Anne Bancroft,actress,N,0.2
3540,17,1978,Jane Fonda,actress,N,0.2
3541,18,1978,Shirley MacLaine,actress,N,0.2
3542,19,1978,Marsha Mason,actress,N,0.2
3553,30,1978,Alvin Sargent,screenplay,W,5.0
3554,31,1978,Peter Shaffer,screenplay,N,0.2
3555,32,1978,Gavin Lambert,screenplay,N,0.2
3556,33,1978,Larry Gelbart,screenplay,N,0.2
3557,34,1978,Luis Buñuel,screenplay,N,0.2
3598,0,1979,Barry Spikings,picture,W,5.0
3599,1,1979,Jerome Hellman,picture,N,0.2
3600,2,1979,Warren Beatty,picture,N,0.2
3601,3,1979,Alan Marshall,picture,N,0.2
3602,4,1979,Paul Mazursky,picture,N,0.2
3603,5,1979,Michael Cimino,director,W,5.0
3604,6,1979,Hal Ashby,director,N,0.2
3605,7,1979,Warren Beatty,director,N,0.2
3606,8,1979,Woody Allen,director,N,0.2
3607,9,1979,Alan Parker,director,N,0.2
3618,20,1979,Christopher Walken,s_actor,W,5.0
3619,21,1979,Bruce Dern,s_actor,N,0.2
3620,22,1979,Richard Farnsworth,s_actor,N,0.2
3621,23,1979,John Hurt,s_actor,N,0.2
3622,24,1979,Jack Warden,s_actor,N,0.2
3623,25,1979,Maggie Smith,s_actress,W,5.0
3624,26,1979,Dyan Cannon,s_actress,N,0.2
3625,27,1979,Penelope Milford,s_actress,N,0.2
3626,28,1979,Maureen Stapleton,s_actress,N,0.2
3627,29,1979,Meryl Streep,s_actress,N,0.2
3608,10,1979,Jon Voight,actor,W,5.0
3609,11,1979,Warren Beatty,actor,N,0.2
3610,12,1979,Gary Busey,actor,N,0.2
3611,13,1979,Robert De Niro,actor,N,0.2
3612,14,1979,Laurence Olivier,actor,N,0.2
3613,15,1979,Jane Fonda,actress,W,5.0
3614,16,1979,Ingrid Bergman,actress,N,0.2
3615,17,1979,Ellen Burstyn,actress,N,0.2
3616,18,1979,Jill Clayburgh,actress,N,0.2
3617,19,1979,Geraldine Page,actress,N,0.2
3628,30,1979,Nancy Dowd,screenplay,W,5.0
3629,31,1979,Ingmar Bergman,screenplay,N,0.1
3630,32,1979,Michael Cimino,screenplay,N,0.1
3631,33,1979,Woody Allen,screenplay,N,0.1
3632,34,1979,Paul Mazursky,screenplay,N,0.1
3633,35,1979,Oliver Stone,screenplay,W,5.0
3634,36,1979,Walter Newman,screenplay,N,0.1
3635,37,1979,Neil Simon,screenplay,N,0.1
3636,38,1979,Elaine May,screenplay,N,0.1
3637,39,1979,Bernard Slade,screenplay,N,0.1
3676,0,1980,Stanley R. Jaffe,picture,W,5.0
3677,1,1980,Robert Alan Aurthur,picture,N,0.2
3678,2,1980,Francis Coppola,picture,N,0.2
3679,3,1980,Peter Yates,picture,N,0.2
3680,4,1980,Tamara Asseyev,picture,N,0.2
3681,5,1980,Robert Benton,director,W,5.0
3682,6,1980,Bob Fosse,director,N,0.2
3683,7,1980,Francis Ford Coppola,director,N,0.2
3684,8,1980,Peter Yates,director,N,0.2
3685,9,1980,Édouard Molinaro,director,N,0.2
3696,20,1980,Melvyn Douglas,s_actor,W,5.0
3697,21,1980,Robert Duvall,s_actor,N,0.2
3698,22,1980,Frederic Forrest,s_actor,N,0.2
3699,23,1980,Justin Henry,s_actor,N,0.2
3700,24,1980,Mickey Rooney,s_actor,N,0.2
3701,25,1980,Meryl Streep,s_actress,W,5.0
3702,26,1980,Jane Alexander,s_actress,N,0.2
3703,27,1980,Barbara Barrie,s_actress,N,0.2
3704,28,1980,Candice Bergen,s_actress,N,0.2
3705,29,1980,Mariel Hemingway,s_actress,N,0.2
3686,10,1980,Dustin Hoffman,actor,W,5.0
3687,11,1980,Jack Lemmon,actor,N,0.2
3688,12,1980,Al Pacino,actor,N,0.2
3689,13,1980,Roy Scheider,actor,N,0.2
3690,14,1980,Peter Sellers,actor,N,0.2
3691,15,1980,Sally Field,actress,W,5.0
3692,16,1980,Jill Clayburgh,actress,N,0.2
3693,17,1980,Jane Fonda,actress,N,0.2
3694,18,1980,Marsha Mason,actress,N,0.2
3695,19,1980,Bette Midler,actress,N,0.2
3706,30,1980,Steve Tesich,screenplay,W,5.0
3707,31,1980,Robert Alan Aurthur,screenplay,N,0.1
3708,32,1980,Valerie Curtin,screenplay,N,0.1
3709,33,1980,Mike Gray,screenplay,N,0.1
3710,34,1980,Woody Allen,screenplay,N,0.1
3711,35,1980,Robert Benton,screenplay,W,5.0
3712,36,1980,Francis Coppola,screenplay,N,0.1
3713,37,1980,Francis Veber,screenplay,N,0.1
3714,38,1980,Allan Burns,screenplay,N,0.1
3715,39,1980,Irving Ravetch,screenplay,N,0.1
3759,0,1981,Ronald L. Schwary,picture,W,5.0
3760,1,1981,"Bernard Schwartz, producer",picture,N,0.2
3761,2,1981,Jonathan Sanger,picture,N,0.2
3762,3,1981,Robert Chartoff,picture,N,0.2
3763,4,1981,Claude Berri,picture,N,0.2
3764,5,1981,Robert Redford,director,W,5.0
3765,6,1981,David Lynch,director,N,0.2
3766,7,1981,Martin Scorsese,director,N,0.2
3767,8,1981,Richard Rush,director,N,0.2
3768,9,1981,Roman Polanski,director,N,0.2
3779,20,1981,Timothy Hutton,s_actor,W,5.0
3780,21,1981,Judd Hirsch,s_actor,N,0.2
3781,22,1981,Michael O'Keefe,s_actor,N,0.2
3782,23,1981,Joe Pesci,s_actor,N,0.2
3783,24,1981,Jason Robards,s_actor,N,0.2
3784,25,1981,Mary Steenburgen,s_actress,W,5.0
3785,26,1981,Eileen Brennan,s_actress,N,0.2
3786,27,1981,Eva Le Gallienne,s_actress,N,0.2
3787,28,1981,Cathy Moriarty,s_actress,N,0.2
3788,29,1981,Diana Scarwid,s_actress,N,0.2
3769,10,1981,Robert De Niro,actor,W,5.0
3770,11,1981,Robert Duvall,actor,N,0.2
3771,12,1981,John Hurt,actor,N,0.2
3772,13,1981,Jack Lemmon,actor,N,0.2
3773,14,1981,Peter O'Toole,actor,N,0.2
3774,15,1981,Sissy Spacek,actress,W,5.0
3775,16,1981,Ellen Burstyn,actress,N,0.2
3776,17,1981,Goldie Hawn,actress,N,0.2
3777,18,1981,Mary Tyler Moore,actress,N,0.2
3778,19,1981,Gena Rowlands,actress,N,0.2
3789,30,1981,Bo Goldman,screenplay,W,5.0
3790,31,1981,W. D. Richter,screenplay,N,0.1
3791,32,1981,Christopher Gore,screenplay,N,0.1
3792,33,1981,Jean Gruault,screenplay,N,0.1
3793,34,1981,Nancy Meyers,screenplay,N,0.1
3794,35,1981,Alvin Sargent,screenplay,W,5.0
3795,36,1981,Jonathan Hardy,screenplay,N,0.1
3796,37,1981,Thomas Rickman,screenplay,N,0.1
3797,38,1981,Eric Bergren,screenplay,N,0.1
3798,39,1981,Richard Rush,screenplay,N,0.1
3834,0,1982,David Puttnam,picture,W,5.0
3835,1,1982,Denis Héroux,picture,N,0.2
3836,2,1982,"Bruce Gilbert, producer",picture,N,0.2
3837,3,1982,Frank Marshall,picture,N,0.2
3838,4,1982,Warren Beatty,picture,N,0.2
3839,5,1982,Warren Beatty,director,W,5.0
3840,6,1982,Louis Malle,director,N,0.2
3841,7,1982,Hugh Hudson,director,N,0.2
3842,8,1982,Mark Rydell,director,N,0.2
3843,9,1982,Steven Spielberg,director,N,0.2
3854,20,1982,John Gielgud,s_actor,W,5.0
3855,21,1982,James Coco,s_actor,N,0.2
3856,22,1982,Ian Holm,s_actor,N,0.2
3857,23,1982,Jack Nicholson,s_actor,N,0.2
3858,24,1982,Howard E. Rollins Jr.,s_actor,N,0.2
3859,25,1982,Maureen Stapleton,s_actress,W,5.0
3860,26,1982,Melinda Dillon,s_actress,N,0.2
3861,27,1982,Jane Fonda,s_actress,N,0.2
3862,28,1982,Joan Hackett,s_actress,N,0.2
3863,29,1982,Elizabeth McGovern,s_actress,N,0.2
3844,10,1982,Henry Fonda,actor,W,5.0
3845,11,1982,Warren Beatty,actor,N,0.2
3846,12,1982,Burt Lancaster,actor,N,0.2
3847,13,1982,Dudley Moore,actor,N,0.2
3848,14,1982,Paul Newman,actor,N,0.2
3849,15,1982,Katharine Hepburn,actress,W,5.0
3850,16,1982,Diane Keaton,actress,N,0.2
3851,17,1982,Marsha Mason,actress,N,0.2
3852,18,1982,Susan Sarandon,actress,N,0.2
3853,19,1982,Meryl Streep,actress,N,0.2
3864,30,1982,Colin Welland,screenplay,W,5.0
3865,31,1982,Kurt Luedtke,screenplay,N,0.1
3866,32,1982,Steve Gordon,screenplay,N,0.1
3867,33,1982,John Guare,screenplay,N,0.1
3868,34,1982,Warren Beatty,screenplay,N,0.1
3869,35,1982,Ernest Thompson,screenplay,W,5.0
3870,36,1982,Harold Pinter,screenplay,N,0.1
3871,37,1982,Dennis Potter,screenplay,N,0.1
3872,38,1982,Jay Presson Allen,screenplay,N,0.1
3873,39,1982,Michael Weller,screenplay,N,0.1
3911,0,1983,Richard Attenborough,picture,W,5.0
3912,1,1983,Steven Spielberg,picture,N,0.2
3913,2,1983,"Edward Lewis and Mildred Lewis, producers",picture,N,0.2
3914,3,1983,Sydney Pollack,picture,N,0.2
3915,4,1983,David Brown,picture,N,0.2
3916,5,1983,Richard Attenborough,director,W,5.0
3917,6,1983,Wolfgang Petersen,director,N,0.2
3918,7,1983,Steven Spielberg,director,N,0.2
3919,8,1983,Sydney Pollack,director,N,0.2
3920,9,1983,Sidney Lumet,director,N,0.2
3931,20,1983,Louis Gossett Jr.,s_actor,W,5.0
3932,21,1983,Charles Durning,s_actor,N,0.2
3933,22,1983,John Lithgow,s_actor,N,0.2
3934,23,1983,James Mason,s_actor,N,0.2
3935,24,1983,Robert Preston,s_actor,N,0.2
3936,25,1983,Jessica Lange,s_actress,W,5.0
3937,26,1983,Glenn Close,s_actress,N,0.2
3938,27,1983,Teri Garr,s_actress,N,0.2
3939,28,1983,Kim Stanley,s_actress,N,0.2
3940,29,1983,Lesley Ann Warren,s_actress,N,0.2
3921,10,1983,Ben Kingsley,actor,W,5.0
3922,11,1983,Dustin Hoffman,actor,N,0.2
3923,12,1983,Jack Lemmon,actor,N,0.2
3924,13,1983,Paul Newman,actor,N,0.2
3925,14,1983,Peter O'Toole,actor,N,0.2
